PIT MAP: Last updated 4/26/2026 6:15 PM CDT (Version 2026.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6773,59,,4611,7539,,1024,166,,6413,51,,1403,5577,,10991,10034,,5653,1720,,,,,,6121,4967,,2619,7220,,2704,1076,,2638,5549,,1902,3276,,148,6352,,687,2586,,
CURIE,,,,,,,,,,,,GALILEO,,,,,,,,,,,,,JOHNSON,,,,,,,,,,,,NEWTON,,,,,,,,,,,
A17,,A18,B17,,B18,C17,,C18,D17,,D18,E17,,E18,F17,,F18,G17,,G18,H17,,EMT,,EMT,,J18,K17,,K18,L17,,L18,M17,,M18,N17,,N18,P17,,P18,Q17,,Q18,R17,,R18
11304,,1477,2053,,1684,3128,,254,8575,,9068,11244,,11214,6201,,3931,4020,,1816,7415,,,,,,6829,3536,,117,7257,,955,836,,3620,2052,,9450,346,,2370,4590,,5948,9408,,3256
A15,,A16,B15,,B16,C15,,C16,D15,,D16,E15,,E16,F15,,F16,G15,,G16,H15,,,,,,J16,K15,,K16,L15,,L16,M15,,M16,N15,,N16,P15,,P16,Q15,,Q16,R15,,R16
11318,,6045,5193,,6800,6366,,2992,6369,,4256,5895,,7915,11417,,8069,9572,,2393,1533,,,,,,6766,498,,3770,2848,,190,9757,,4522,818,,5414,1833,,10903,930,,9128,10935,,695
A13,,A14,B13,,B14,C13,,C14,D13,,D14,E13,,E14,F13,,F14,G13,,G14,H13,,H14,,J13,,J14,K13,,K14,L13,,L14,M13,,M14,N13,,N14,P13,,P14,Q13,,Q14,R13,,R14
3847,,9200,10349,,10922,6497,,9609,2637,,4027,4655,,9496,5181,,614,3501,,3937,3082,,6911,,1908,,7403,245,,48,3630,,9646,9483,,179,5216,,3044,4253,,10291,2996,,9067,2910,,6647
A11,,A12,B11,,B12,C11,,C12,D11,,D12,E11,,E12,F11,,F12,G11,,G12,H11,,H12,,J11,,J12,K11,,K12,L11,,L12,M11,,M12,N11,,N12,P11,,P12,Q11,,Q12,R11,,R12
2412,,987,2443,,9077,9066,,8280,11167,,7028,4766,,6429,10980,,4469,2813,,4125,6985,,4607,,8,,772,5968,,1002,9597,,4635,4451,,3255,1884,,11463,599,,4561,4400,,2713,341,,1540
COL,,A10,B09,,B10,C09,,C10,COL,,D10,E09,,E10,F09,,F10,COL,,G10,H09,,H10,,J09,,J10,K09,,COL,L09,,L10,M09,,M10,N09,,COL,P09,,P10,Q09,,Q10,R09,,COL
,,8725,3197,,9023,5199,,6510,,,4786,1768,,2231,2556,,449,,,4450,3544,,931,,9484,,1306,6324,,,321,,5026,11269,,7563,2046,,,3005,,233,424,,8046,6988,,
A07,,A08,B07,,B08,C07,,C08,D07,,D08,E07,,E08,F07,,F08,G07,,G08,H07,,H08,,J07,,J08,K07,,K08,L07,,L08,M07,,M08,N07,,N08,P07,,P08,Q07,,Q08,R07,,R08
125,,5460,571,,8595,7565,,2357,5907,,1714,6528,,2054,7183,,16,3753,,3243,5913,,8119,,33,,10396,10114,,619,6652,,9277,10014,,7558,5951,,2067,2783,,973,88,,3354,7160,,5736
A05,,A06,B05,,B06,C05,,C06,D05,,D06,E05,,E06,F05,,F06,G05,,G06,H05,,H06,,J05,,J06,K05,,K06,L05,,L06,M05,,M06,N05,,N06,P05,,P06,Q05,,Q06,R05,,R06
302,,589,1987,,5572,1498,,3792,5987,,6615,4322,,1506,1690,,8159,2590,,8229,8858,,4087,,360,,1073,2040,,6940,1792,,2252,4946,,3603,3966,,948,1796,,6436,386,,9245,10979,,10553
,,A04,B03,,B04,C03,,INSPECTION,,,INSPECTION,,,E04,F03,,F04,G03,,G04,H03,,H04,,J03,,J04,K03,,K04,L03,,L04,M03,,INSPECTION,,,INSPECTION,,,P04,Q03,,Q04,R03,,
,,3932,2724,,7567,2682,,,,,,,,6665,1391,,7840,484,,11242,2468,,364,,8612,,422,3414,,118,7551,,10340,2877,,,,,,,,180,4099,,1577,4206,,
,,,,,,,,,,,,,,E02,F01,,F02,G01,,G02,H01,,,,,,J02,K01,,K02,L01,,L02,M01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7769,5705,,1023,1756,,2491,6487,,,,,,67,4391,,3061,2096,,10217,2522,,,,,,,,,,,,,,
Hall A,,,,,,,,,,,,,,,,,,,,,,,,,Hall E,,,,,,,,,,,,,,,,,,,,,,,
Excel version of pit map created by Che Smith of FRC 5414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to frc.nexus API for pit data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
